Row,name,ra,dec,time,obsid,exposure,processing_status,processing_date,public_date,obs_type,_offset
1,PSR_B1937+21,294.9112,21.58201,2020-06-21T11:02:00.00,3070020532,12197,VALIDATED,2020-06-25T20:52:06,7/5/20,NOR,1.4919
2,PSR_B1937+21,294.912,21.58237,2019-04-15T05:54:20.00,2070020415,14767,VALIDATED,2020-05-22T21:19:02,4/29/19,NOR,1.4946
3,PSR_B1937+21,294.9117,21.58238,2017-09-19T23:53:20.00,1070020151,21344,VALIDATED,2018-03-04T14:34:33,12/30/18,NOR,1.4858
4,PSR_B1937+21,294.9109,21.58245,2020-04-17T01:27:20.00,3070020521,10728,VALIDATED,2020-04-22T00:42:40,5/1/20,NOR,1.4608
5,PSR_B1937+21,294.9116,21.58256,2017-09-18T00:05:43.00,1070020149,17940.06096,VALIDATED,2018-03-04T14:10:38,12/30/18,NOR,1.4736
6,PSR_B1937+21,294.911,21.58261,2017-07-04T03:01:22.00,70020107,13261.05831,VALIDATED,2018-03-04T00:44:26,12/30/18,NOR,1.4549
7,PSR_B1937+21,294.9112,21.58269,2017-09-21T00:35:20.00,1070020152,12870,VALIDATED,2018-03-04T14:47:44,12/30/18,NOR,1.456
8,PSR_B1937+21,294.911,21.58271,2017-09-16T00:34:19.00,1070020147,21617,VALIDATED,2018-03-04T13:46:05,12/30/18,NOR,1.4496
9,PSR_B1937+21,294.911,21.58274,2018-09-02T01:08:18.00,1070020342,10230,VALIDATED,2018-09-06T16:27:30,12/30/18,NOR,1.448
10,PSR_B1937+21,294.911,21.58275,2018-09-06T23:57:26.00,1070020347,11955,VALIDATED,2018-09-11T03:51:50,12/30/18,NOR,1.4475
11,PSR_B1937+21,294.9111,21.58276,2018-07-01T00:46:40.00,1070020299,10353.18276,VALIDATED,2018-07-05T19:38:12,12/30/18,NOR,1.4496
12,PSR_B1937+21,294.9112,21.58276,2018-09-08T02:26:30.00,1070020348,10610,VALIDATED,2018-09-11T16:39:15,12/30/18,NOR,1.4523
13,PSR_B1937+21,294.9111,21.58278,2019-11-13T23:57:36.00,2070020476,11486.4,VALIDATED,2019-11-22T22:26:53,11/28/19,NOR,1.4486
14,PSR_B1937+21,294.9115,21.58278,2018-04-25T00:21:00.00,1070020261,10592.71874,VALIDATED,2018-05-02T22:14:52,12/30/18,NOR,1.4594
15,PSR_B1937+21,294.9102,21.58282,2021-10-14T23:45:20.00,4070020685,10240,VALIDATED,2021-10-24T15:22:02,10/29/21,NOR,1.4231
16,PSR_B1937+21,294.9119,21.58282,2017-09-19T00:44:00.00,1070020150,22790,VALIDATED,2018-03-04T14:20:31,12/30/18,NOR,1.4684
17,PSR_B1937+21,294.911,21.58283,2018-09-08T23:54:51.00,1070020349,24760,VALIDATED,2018-09-14T02:21:38,12/30/18,NOR,1.4433
18,PSR_B1937+21,294.9101,21.58287,2017-10-29T02:59:00.00,1070020173,10380,VALIDATED,2018-03-04T23:44:33,12/30/18,NOR,1.4179
19,PSR_B1937+21,294.9112,21.58287,2022-04-11T07:19:40.00,5070020714,10845,VALIDATED,2022-04-28T15:29:24,4/25/22,NOR,1.4465
20,PSR_B1937+21,294.9106,21.58292,2020-09-21T06:30:40.00,3070020568,10387,VALIDATED,2020-09-25T16:24:06,10/5/20,NOR,1.428
21,PSR_B1937+21,294.9107,21.58293,2022-09-15T03:07:07.00,5070020784,11730,VALIDATED,2022-09-27T19:03:11,9/29/22,NOR,1.4301
22,PSR_B1937+21,294.9109,21.58293,2017-11-27T08:17:41.00,1070020182,20120.24517,VALIDATED,2020-05-22T20:10:34,12/30/18,NOR,1.4354
23,PSR_B1937+21,294.9104,21.58294,2023-03-14T00:47:59.00,6070020806,10583,VALIDATED,2023-03-25T21:09:11,3/28/23,NOR,1.4218
24,PSR_B1937+21,294.9103,21.58298,2020-10-15T11:13:41.00,3070020581,15042,VALIDATED,2020-10-19T17:59:31,10/29/20,NOR,1.4171
25,PSR_B1937+21,294.9131,21.58298,2020-11-16T07:16:35.00,3070020588,10674,VALIDATED,2020-11-21T16:19:13,11/30/20,NOR,1.495
26,PSR_B1937+21,294.911,21.58299,2017-09-16T23:26:40.00,1070020148,28999,VALIDATED,2018-03-04T13:55:57,12/30/18,NOR,1.4349
27,PSR_B1937+21,294.9109,21.58308,2020-06-28T10:05:20.00,3070020534,10018,VALIDATED,2020-07-02T17:00:56,7/12/20,NOR,1.4274
28,PSR_B1937+21,294.911,21.58314,2018-09-06T00:51:20.00,1070020346,14808,VALIDATED,2018-09-11T02:43:03,12/30/18,NOR,1.427
29,PSR_B1937+21,294.9107,21.58317,2018-07-03T00:41:00.00,1070020302,12190.20173,VALIDATED,2018-07-08T01:35:21,12/30/18,NOR,1.4174
30,PSR_B1937+21,294.9106,21.58342,2021-07-15T05:32:20.00,4070020647,10325,VALIDATED,2021-07-25T15:23:19,7/29/21,NOR,1.4015
31,PSR_B1937+21,294.9108,21.58345,2021-12-08T10:27:20.00,4070020704,10884,VALIDATED,2021-12-18T14:58:39,12/22/21,NOR,1.4053
32,PSR_B1937+21,294.9109,21.58345,2018-03-06T00:25:19.00,1070020232,14594,VALIDATED,2018-03-15T10:21:11,12/30/18,NOR,1.408
33,PSR_B1937+21,294.9106,21.58354,2018-02-25T00:10:00.00,1070020228,10582.84551,VALIDATED,2018-03-01T19:19:58,12/30/18,NOR,1.3952
34,PSR_B1937+21,294.9107,21.5836,2018-07-01T23:54:00.00,1070020301,10387.75628,VALIDATED,2018-07-06T19:29:25,12/30/18,NOR,1.3947
35,PSR_B1937+21,294.9107,21.5836,2018-02-24T01:00:00.00,1070020227,11261.76041,VALIDATED,2018-02-28T18:39:02,12/30/18,NOR,1.3947
36,PSR_B1937+21,294.9107,21.58414,2018-12-07T00:00:19.00,1070020411,10737,VALIDATED,2018-12-11T15:23:54,12/30/18,NOR,1.3664
37,PSR_B1937+21,294.9105,21.58419,2022-07-13T04:23:00.00,5070020753,11679,VALIDATED,2022-07-24T21:36:43,7/27/22,NOR,1.3583
38,PSR_B1937+21,294.9108,21.58447,2023-07-08T00:23:20.00,6070020833,11480.42142,VALIDATED,2023-07-19T22:34:13,7/22/23,NOR,1.352
39,PSR_B1937+21,294.9128,21.58481,2018-12-17T00:57:29.00,1070020415,10840.45158,VALIDATED,2018-12-21T15:35:22,12/31/18,NOR,1.3942
40,PSR_B1937+21,294.9105,21.58496,2018-12-05T00:05:32.00,1070020409,10628,VALIDATED,2018-12-09T16:31:10,12/30/18,NOR,1.3181
